category,count,columns,row_id_width,col_width,total,sort,scatter,gather
std,16777216,1,4,4,1411076250,1319457875,80944750,10673625
rad,16777216,2,4,4,806866334,694157917,94417917,18290500
std,16777216,2,4,4,1477060083,1370104417,94044541,12911125
rad,16777216,2,4,4,787982458,679362334,94675916,13944208
std,16777216,2,4,4,1540764041,1433278459,94868291,12617291
rad,16777216,2,4,4,789759583,679962000,94479125,15318458
std,16777216,2,4,4,1480287833,1373045750,94792250,12449833
rad,16777216,3,4,4,770359958,647388750,109116750,13854458
std,16777216,3,4,4,1447193458,1324546208,107962000,14685250
rad,16777216,3,4,4,740268417,616504791,109170334,14593292
std,16777216,3,4,4,1477210958,1354206125,109836916,13167917
rad,16777216,3,4,4,750832666,624150541,108819625,17862500
std,16777216,3,4,4,1455482541,1331689167,108894666,14898708
rad,16777216,4,4,4,946989292,798971041,122031792,25986459
std,16777216,4,4,4,1542395125,1406849750,120672292,14873083
rad,16777216,4,4,4,946187584,800400833,121082834,24703917
std,16777216,4,4,4,1512434000,1369488750,122663250,20282000
rad,16777216,4,4,4,919735333,777903500,122569500,19262333
std,16777216,4,4,4,1528312584,1390591125,120859125,16862334
rad,16777216,5,4,4,865788333,700726958,137580167,27481208
std,16777216,5,4,4,1547859208,1391621458,137415167,18822583
rad,16777216,5,4,4,825283208,668134791,136078792,21069625
std,16777216,5,4,4,1551350917,1396370500,137250584,17729833
rad,16777216,5,4,4,829480083,673122167,136165000,20192916
std,16777216,5,4,4,1547301416,1395047625,135523625,16730166
rad,16777216,6,4,4,1046440541,861793833,152971625,31675083
std,16777216,6,4,4,1536867959,1364383708,152603709,19880542
rad,16777216,6,4,4,1044274083,864844625,150844792,28584666
std,16777216,6,4,4,1561574292,1392301542,150204125,19068625
rad,16777216,6,4,4,1006636416,831505666,150326375,24804375
std,16777216,6,4,4,1573260542,1403569083,150451625,19239834
rad,16777216,7,4,4,989094167,789420542,165792500,33881125
std,16777216,7,4,4,1606581500,1420658916,164393125,21529459
rad,16777216,7,4,4,944764167,751959500,164403917,28400750
std,16777216,7,4,4,1592251458,1406755041,164994667,20501750
rad,16777216,7,4,4,938799542,747558583,163987584,27253375
std,16777216,7,4,4,1610725833,1415914875,163405500,31405458
rad,16777216,8,4,4,1141926042,924951458,183318917,33655667
std,16777216,8,4,4,1782569291,1565719875,190068208,26781208
rad,16777216,8,4,4,1152275625,930374875,184146333,37754417
std,16777216,8,4,4,1644301209,1440153458,181061084,23086667
rad,16777216,8,4,4,1119477792,910063250,178762417,30652125
std,16777216,8,4,4,1661559292,1452236750,181047250,28275292
