category,count,columns,col_width,total,sort,scatter,gather
radix,16384,3,4,557100,389372,114775,52953
pdq_static,16384,3,4,919277,751572,114688,53017
radix,16384,3,4,556848,388511,115390,52947
pdq_static,16384,3,4,916373,748848,114510,53015
radix,16384,3,4,557234,389692,114508,53034
pdq_static,16384,3,4,927228,747197,126884,53147
radix,16384,3,4,560349,392328,114927,53094
pdq_static,16384,3,4,917099,749355,114598,53146
radix,16384,4,4,663595,418441,186825,58329
pdq_static,16384,4,4,1000975,805382,142667,52926
radix,16384,4,4,619144,421757,144377,53010
pdq_static,16384,4,4,990541,792955,144617,52969
radix,16384,4,4,616311,417818,145492,53001
pdq_static,16384,4,4,1002522,795542,143296,63684
radix,16384,4,4,618306,420231,145086,52989
pdq_static,16384,4,4,992109,795840,143341,52928
radix,16384,4,4,624925,427839,144092,52994
pdq_static,16384,4,4,995717,798667,144139,52911
radix,16384,5,4,692442,431753,207714,52975
pdq_static,16384,5,4,1625989,1391318,181714,52957
radix,16384,5,4,657615,427273,177350,52992
pdq_static,16384,5,4,1601948,1370984,178030,52934
radix,16384,5,4,656672,427935,175604,53133
pdq_static,16384,5,4,1619046,1375482,190603,52961
radix,16384,5,4,656222,428707,174568,52947
pdq_static,16384,5,4,1623105,1384549,185574,52982
radix,16384,5,4,651612,425082,173587,52943
pdq_static,16384,5,4,1620416,1393690,173710,53016
radix,16384,6,4,752613,457457,242112,53044
pdq_static,16384,6,4,1712150,1437721,221463,52966
radix,16384,6,4,710942,446150,211799,52993
pdq_static,16384,6,4,1735068,1466473,215626,52969
radix,16384,6,4,724917,449864,222033,53020
pdq_static,16384,6,4,1677160,1410597,213634,52929
radix,16384,6,4,726124,461726,211401,52997
pdq_static,16384,6,4,1691599,1427702,210981,52916
radix,16384,6,4,728027,452039,223004,52984
pdq_static,16384,6,4,1704754,1438840,212947,52967
radix,16384,7,4,811684,457993,300457,53234
pdq_static,16384,7,4,1720977,1396370,271619,52988
radix,16384,7,4,770128,446080,270918,53130
pdq_static,16384,7,4,1718278,1386622,278704,52952
radix,16384,7,4,776928,453117,270671,53140
pdq_static,16384,7,4,1729563,1394063,282560,52940
radix,16384,7,4,776219,452878,270197,53144
pdq_static,16384,7,4,1729282,1404291,272071,52920
radix,16384,7,4,813353,490677,269573,53103
pdq_static,16384,7,4,1716081,1395016,268115,52950
radix,65536,1,4,1504683,1083396,230859,190428
pdq_static,65536,1,4,3552750,3134245,228073,190432
radix,65536,1,4,1529464,1097694,229404,202366
pdq_static,65536,1,4,3554217,3136908,226904,190405
radix,65536,1,4,1511740,1091320,229969,190451
pdq_static,65536,1,4,3559965,3141369,228194,190402
radix,65536,1,4,1519921,1089239,240259,190423
pdq_static,65536,1,4,3547477,3129133,227911,190433
radix,65536,1,4,1509686,1089728,229440,190518
pdq_static,65536,1,4,3542353,3111308,230140,200905
radix,65536,2,4,2628976,1916767,484482,227727
pdq_static,65536,2,4,3859072,3276181,371149,211742
radix,65536,2,4,2491595,1909732,369967,211896
pdq_static,65536,2,4,3856149,3276769,367763,211617
radix,65536,2,4,2480821,1890766,378187,211868
pdq_static,65536,2,4,3831771,3242304,377741,211726
radix,65536,2,4,2475594,1897176,366424,211994
pdq_static,65536,2,4,3852660,3274515,366347,211798
radix,65536,2,4,2469226,1892293,365125,211808
pdq_static,65536,2,4,3849507,3271598,366212,211697
radix,65536,3,4,2757406,1932169,611518,213719
pdq_static,65536,3,4,3958632,3252839,493779,212014
radix,65536,3,4,2598613,1888486,498244,211883
pdq_static,65536,3,4,3964446,3252607,499928,211911
radix,65536,3,4,2601221,1890049,498846,212326
pdq_static,65536,3,4,4038461,3327161,499526,211774
radix,65536,3,4,2604487,1887593,504420,212474
pdq_static,65536,3,4,3966050,3254639,499509,211902
radix,65536,3,4,2601282,1881095,507606,212581
pdq_static,65536,3,4,3995959,3272823,511171,211965
radix,65536,4,4,3018393,2058855,747701,211837
pdq_static,65536,4,4,4338675,3481093,634049,223533
radix,65536,4,4,2898903,2051357,635815,211731
pdq_static,65536,4,4,4344300,3498900,633561,211839
radix,65536,4,4,2887870,2026839,649279,211752
pdq_static,65536,4,4,4326111,3479134,635163,211814
radix,65536,4,4,2976672,2130993,633738,211941
pdq_static,65536,4,4,4327519,3481667,634238,211614
radix,65536,4,4,2894680,2036519,634523,223638
pdq_static,65536,4,4,4322067,3475829,634408,211830
radix,65536,5,4,3246129,2152313,881987,211829
pdq_static,65536,5,4,7087411,6113995,761734,211682
radix,65536,5,4,3124771,2141251,771899,211621
pdq_static,65536,5,4,7201009,6216692,772423,211894
radix,65536,5,4,3102273,2118470,771982,211821
pdq_static,65536,5,4,7205429,6220899,772837,211693
radix,65536,5,4,3124636,2143029,770023,211584
pdq_static,65536,5,4,7056187,6072545,771929,211713
radix,65536,5,4,3116470,2133405,771449,211616
pdq_static,65536,5,4,7207683,6213199,782363,212121
radix,65536,6,4,3567786,2312202,1039056,216528
pdq_static,65536,6,4,7511345,6355337,944310,211698
radix,65536,6,4,3421979,2258458,951894,211627
pdq_static,65536,6,4,7568390,6413330,943366,211694
radix,65536,6,4,3435309,2281625,941826,211858
pdq_static,65536,6,4,7625721,6470515,943526,211680
radix,65536,6,4,3435648,2281686,942126,211836
pdq_static,65536,6,4,7533278,6377969,943361,211948
radix,65536,6,4,3436982,2271528,941453,224001
pdq_static,65536,6,4,7638985,6463338,942854,232793
radix,65536,7,4,3737960,2269790,1254437,213733
pdq_static,65536,7,4,7593027,6216335,1165016,211676
radix,65536,7,4,3618506,2235526,1171384,211596
pdq_static,65536,7,4,7729115,6343111,1174331,211673
radix,65536,7,4,3602594,2217774,1172939,211881
pdq_static,65536,7,4,7600497,6212215,1176651,211631
radix,65536,7,4,3611882,2218444,1181811,211627
pdq_static,65536,7,4,7651632,6267502,1172493,211637
radix,65536,7,4,3613118,2209320,1191912,211886
pdq_static,65536,7,4,7565131,6168084,1185437,211610
radix,262144,1,4,6589214,4823969,1003668,761577
pdq_static,262144,1,4,15350849,13581288,1008020,761541
radix,262144,1,4,6617878,4861134,994946,761798
pdq_static,262144,1,4,15188905,13433983,993233,761689
radix,262144,1,4,6659970,4903260,995006,761704
pdq_static,262144,1,4,15259083,13491882,998411,768790
radix,262144,1,4,6627521,4870661,995174,761686
pdq_static,262144,1,4,15197919,13443359,992919,761641
radix,262144,1,4,6594917,4837253,995820,761844
pdq_static,262144,1,4,15217371,13461445,994490,761436
radix,262144,2,4,12210501,9411120,1953244,846137
pdq_static,262144,2,4,16530691,14166477,1518206,846008
radix,262144,2,4,11749778,9379126,1510100,860552
pdq_static,262144,2,4,16581605,14214223,1521442,845940
radix,262144,2,4,11745146,9377966,1509865,857315
pdq_static,262144,2,4,16641954,14273920,1522064,845970
radix,262144,2,4,11751817,9380173,1511864,859780
pdq_static,262144,2,4,16543057,14172786,1524396,845875
radix,262144,2,4,11701787,9344809,1510873,846105
pdq_static,262144,2,4,16572696,14206386,1520216,846094
radix,262144,3,4,12770904,9481868,2443043,845993
pdq_static,262144,3,4,17114809,14234681,2026423,853705
radix,262144,3,4,12408645,9521896,2025599,861150
pdq_static,262144,3,4,17056336,14182704,2027553,846079
radix,262144,3,4,12321805,9442457,2033216,846132
pdq_static,262144,3,4,17063826,14168263,2038062,857501
radix,262144,3,4,12418240,9549716,2022567,845957
pdq_static,262144,3,4,17164798,14302486,2016152,846160
radix,262144,3,4,12300148,9407196,2038108,854844
pdq_static,262144,3,4,17090656,14217978,2026290,846388
radix,262144,4,4,14154000,10300423,3007175,846402
