category,count,columns,time,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS,BRANCH_COND_MISPRED_NONSPEC
row,4194304,3,454561125,9,788,35,23,0
row,4194304,3,454661333,12,890,38,30,0
row,4194304,3,454761250,13,883,32,32,0
row,4194304,3,454861333,10,857,41,45,0
row,4194304,3,454964000,14,892,33,33,0
row,4194304,3,455061083,11,865,37,39,0
row,4194304,3,455161083,12,888,33,31,0
row,4194304,3,455261125,10,905,35,41,0
row,4194304,3,455361041,12,876,38,30,0
row,4194304,3,455461125,9,791,23,24,0
row,4194304,3,455561083,9,906,32,24,0
row,4194304,3,455661083,12,888,39,30,0
row,4194304,3,455761166,13,889,32,36,0
row,4194304,3,455861041,9,902,32,39,0
row,4194304,3,455961041,12,882,38,33,0
row,4194304,3,456061291,11,907,29,23,0
row,4194304,3,456164083,12,882,39,32,0
row,4194304,3,456261083,9,875,29,25,0
row,4194304,3,456364166,14,888,37,34,0
row,4194304,3,456461083,9,874,32,25,0
row,4194304,3,456561083,13,890,40,34,0
row,4194304,3,456661083,9,909,30,24,0
row,4194304,3,456761125,13,897,30,29,0
row,4194304,3,456861083,12,890,40,31,0
row,4194304,3,456961083,9,909,32,23,0
row,4194304,3,457061083,12,891,38,31,0
row,4194304,3,457161083,9,909,32,25,0
row,4194304,3,457261250,12,889,34,32,0
row,4194304,3,457361041,13,889,37,30,0
row,4194304,3,457461083,9,907,28,22,0
row,4194304,3,457561083,12,885,37,31,0
row,4194304,3,457661083,12,935,32,90,11
row,4194304,3,457761125,12,888,40,32,0
row,4194304,3,457861125,9,911,29,23,0
row,4194304,3,457961125,14,900,38,31,0
row,4194304,3,458061083,13,902,36,31,0
row,4194304,3,458161083,9,886,31,22,0
row,4194304,3,458261083,12,894,40,32,0
row,4194304,3,458361541,10,909,28,23,0
row,4194304,3,458461041,12,890,38,32,0
row,4194304,3,458561041,12,899,32,31,0
row,4194304,3,458661083,12,909,36,48,0
row,4194304,3,458761041,12,896,36,33,0
row,4194304,3,458861083,10,912,29,28,0
row,4194304,3,458961083,14,895,38,30,0
row,4194304,3,459061041,15,897,37,36,0
row,4194304,3,459161083,11,914,30,25,0
row,4194304,3,459261125,13,890,41,35,0
row,4194304,3,459361083,9,915,28,26,0
row,4194304,3,459461083,11,897,37,30,0
row,4194304,3,459561083,12,886,37,28,0
row,4194304,3,459661041,9,914,27,23,0
row,4194304,3,459761083,13,895,40,30,0
row,4194304,3,459861083,9,911,29,22,0
row,4194304,3,459961375,13,834,47,58,0
row,4194304,3,460063875,10,910,30,26,0
row,4194304,3,460161083,13,866,37,34,0
row,4194304,3,460261125,9,908,29,24,0
row,4194304,3,460363916,13,894,35,30,0
row,4194304,3,460461083,13,868,38,35,0
row,4194304,3,460561083,9,914,30,25,0
row,4194304,3,460661041,13,894,39,35,0
row,4194304,3,460761083,10,913,27,25,0
row,4194304,3,460861125,13,897,42,32,0
row,4194304,3,460961125,13,893,39,30,0
row,4194304,3,461061083,9,916,28,24,0
row,4194304,3,461161083,11,897,36,28,0
row,4194304,3,461261083,9,906,32,21,0
row,4194304,3,461361125,12,885,34,31,0
row,4194304,3,461461083,12,890,39,28,0
row,4194304,3,461561083,9,909,32,24,0
row,4194304,3,461661083,13,895,38,34,0
row,4194304,3,461761083,9,913,28,22,0
row,4194304,3,461861125,12,896,39,30,0
row,4194304,3,461961083,13,893,39,34,0
row,4194304,3,462061041,10,912,29,24,0
row,4194304,3,462161041,15,893,38,34,0
row,4194304,3,462261208,10,911,31,25,0
row,4194304,3,462363833,12,897,39,29,0
row,4194304,3,462461083,12,880,30,31,0
row,4194304,3,462561125,11,844,44,44,0
row,4194304,3,462661041,12,908,35,30,0
row,4194304,3,462761041,13,928,37,45,0
row,4194304,3,462861041,13,915,39,34,0
row,4194304,3,462961041,11,916,35,32,0
row,4194304,3,463061083,10,934,28,23,0
row,4194304,3,463161125,12,906,39,34,0
row,4194304,3,463261083,12,915,38,30,0
row,4194304,3,463361083,11,934,28,26,0
row,4194304,3,463461083,13,917,39,31,0
row,4194304,3,463561083,8,887,34,20,0
row,4194304,3,463661041,12,916,34,34,0
row,4194304,3,463761041,13,913,40,32,0
row,4194304,3,463861250,12,922,33,30,0
row,4194304,3,463961125,10,925,39,44,0
row,4194304,3,464061083,13,913,40,33,0
row,4194304,3,464161083,14,918,40,36,0
row,4194304,3,464261333,10,939,28,26,0
row,4194304,3,464363791,12,914,37,32,0
row,4194304,3,464461125,14,895,33,33,0
row,4194304,3,464561041,11,905,36,42,0
row,4194304,3,464661125,13,914,39,34,0
row,4194304,3,464761208,8,908,26,24,0
row,4194304,3,464861125,13,895,42,34,0
row,4194304,3,464961083,12,910,39,28,0
row,4194304,3,465061083,9,925,30,22,0
row,4194304,3,465161041,15,913,38,33,0
row,4194304,3,465261083,14,915,39,33,0
row,4194304,3,465361208,10,934,30,23,0
row,4194304,3,465461041,13,914,39,32,0
row,4194304,3,465561083,12,908,38,31,0
row,4194304,3,465661083,9,932,29,25,0
row,4194304,3,465761083,13,918,36,32,0
row,4194304,3,465861083,12,920,36,34,0
row,4194304,3,465961041,9,930,29,25,0
row,4194304,3,466061041,13,920,40,32,0
row,4194304,3,466161083,13,915,38,34,0
row,4194304,3,466261375,9,924,30,21,0
row,4194304,3,466363625,13,913,35,35,0
row,4194304,3,466461083,12,894,36,31,0
row,4194304,3,466561041,11,931,29,27,0
row,4194304,3,466661041,13,908,38,30,0
row,4194304,3,466761083,12,921,38,30,0
row,4194304,3,466861083,9,926,34,24,0
row,4194304,3,466961041,13,909,41,33,0
row,4194304,3,467061041,14,916,40,35,0
row,4194304,3,467161083,9,932,30,24,0
row,4194304,3,467261083,12,913,40,33,0
row,4194304,3,467361083,12,919,36,29,0
row,4194304,3,467461041,10,929,33,23,0
row,4194304,3,467561041,12,924,36,30,0
row,4194304,3,467661083,13,918,40,31,0
row,4194304,3,467761041,10,930,33,23,0
row,4194304,3,467861041,13,922,35,33,0
row,4194304,3,467961125,12,912,41,31,0
row,4194304,3,468061458,9,904,32,24,0
row,4194304,3,468161250,12,917,35,33,0
row,4194304,3,468263958,11,915,35,31,0
row,4194304,3,468361083,10,897,33,29,0
row,4194304,3,468461041,16,915,45,34,0
row,4194304,3,468561041,15,916,42,32,0
row,4194304,3,468661041,10,930,30,23,0
row,4194304,3,468761041,12,911,39,30,0
row,4194304,3,468861083,12,914,38,28,0
row,4194304,3,468961083,9,903,30,24,0
row,4194304,3,469061083,12,912,41,30,0
row,4194304,3,469161083,13,910,41,31,0
row,4194304,3,469261083,9,934,27,21,0
row,4194304,3,469361041,12,828,38,33,0
row,4194304,3,469461041,9,935,29,23,0
row,4194304,3,469561083,13,917,39,32,0
row,4194304,3,469661291,12,920,40,29,0
row,4194304,3,469761125,10,933,27,25,0
row,4194304,3,469861041,13,914,38,29,0
row,4194304,3,469961041,12,921,36,31,0
row,4194304,3,470061041,11,930,32,26,0
row,4194304,3,470161083,12,906,37,33,0
row,4194304,3,470263916,12,919,40,34,0
row,4194304,3,470361083,9,905,32,24,0
row,4194304,3,470461083,12,919,39,34,0
row,4194304,3,470561041,12,918,38,37,0
