sim,category,count,columns,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS
reorder,col,18,2,2646,2230711,2076199,32249
reorder,col,18,2,2487,2231279,2044807,35096
reorder,col,18,2,2517,2234080,1986129,27854
reorder,col,18,2,3163,2228698,2064180,28177
reorder,col,18,4,3161,4219425,3755487,41417
reorder,col,18,4,3270,4218979,3700908,37672
reorder,col,18,4,3185,4214499,3779149,40641
reorder,col,18,4,3444,4217310,3758907,43410
reorder,col,18,4,3425,4218136,3767103,41954
reorder,col,18,8,4653,8163833,7251173,64781
reorder,col,18,8,4611,8169317,7212900,69844
reorder,col,18,8,4500,8170465,7234944,70694
reorder,col,18,8,4918,8166947,7201447,64592
reorder,col,18,8,4887,8173994,7059723,69512
reorder,col,18,16,7652,16059208,14244755,122553
reorder,col,18,16,7418,16068699,14174229,124990
reorder,col,18,16,8470,16034939,14234019,128404
reorder,col,18,16,7459,16073172,14143563,120310
reorder,col,18,16,7640,16071383,14160649,124249
reorder,col,18,32,13021,31853876,28227150,217939
reorder,col,18,32,12814,31864499,28234673,212801
reorder,col,18,32,12782,31858350,28245009,220634
reorder,col,18,32,13181,31815628,28290144,220535
reorder,col,18,32,13433,31851615,28232530,240450
reorder,col,18,64,24027,63435825,56306104,405436
reorder,col,18,64,24556,63426910,56456742,465078
reorder,col,18,64,24688,63423689,56459011,434930
reorder,col,18,64,24601,63431383,56342116,432190
reorder,col,18,64,24279,63356169,56247783,426886
reorder,col,18,96,36799,94876224,84720043,640712
reorder,col,18,96,35286,94949729,84782932,610680
reorder,col,18,96,35636,94990836,84740963,627491
reorder,col,18,96,37168,94867318,84827023,656310
reorder,col,18,96,36858,94856315,84847107,687370
reorder,col,19,1,3856,2617155,2466360,191236
reorder,col,19,1,3859,2620380,2454102,195576
reorder,col,19,1,3629,2620854,2441097,178222
reorder,col,19,1,5447,2620248,2464438,196824
reorder,col,19,1,3687,2625954,2424696,180262
reorder,col,19,2,4504,4693003,4193906,262041
reorder,col,19,2,4436,4693061,4196900,273097
reorder,col,19,2,4117,4690745,4193332,247802
reorder,col,19,2,4821,4692813,4204480,259020
reorder,col,19,2,4897,4694143,4188496,266573
reorder,col,19,4,5757,8833687,7663544,429502
reorder,col,19,4,6806,8832304,7661226,382333
reorder,col,19,4,5846,8830892,7666776,401939
reorder,col,19,4,6000,8832844,7655635,382244
reorder,col,19,4,8160,8828151,7674533,388123
reorder,col,19,8,11249,17084490,14664796,691221
reorder,col,19,8,8917,17114438,14626712,644634
reorder,col,19,8,9107,17105398,14658931,683911
reorder,col,19,8,9346,17112753,14664801,742430
reorder,col,19,8,8522,17105712,14650804,713249
reorder,col,19,16,15449,33662657,28729923,1239967
reorder,col,19,16,16298,33659047,28660118,1416859
reorder,col,19,16,15245,33669898,28691445,1329431
reorder,col,19,16,18803,31650811,25959647,1115537
reorder,col,19,16,15096,33670184,28590946,1278365
reorder,col,19,32,27418,66764584,56566458,2294758
reorder,col,19,32,28581,66768898,56672537,2278801
reorder,col,19,32,30540,66783013,56777760,2469052
reorder,col,19,32,30537,66700772,57007363,2281685
reorder,col,19,32,27764,66698289,56803887,2260055
reorder,col,19,64,51024,132866419,113485327,4859964
reorder,col,19,64,46165,132968663,113104800,4462224
reorder,col,19,64,63271,132902746,113285944,4627196
reorder,col,19,64,55667,132836154,113215455,4398432
reorder,col,19,64,53619,132985912,113431615,4611054
reorder,col,19,96,82353,199131701,169899374,6826927
reorder,col,19,96,93787,198998085,169979151,6798558
