category,count,columns,time,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS,BRANCH_COND_MISPRED_NONSPEC
row,4194304,64,444075291,2,152,187,7,0
row,4194304,64,444175541,2,150,220,7,0
row,4194304,64,444278041,2,123,158,6,0
row,4194304,64,444375333,2,154,172,7,0
row,4194304,64,444475291,2,142,188,7,0
row,4194304,64,444575291,0,147,163,0,0
row,4194304,64,444675291,2,160,201,7,0
row,4194304,64,444775291,2,142,204,7,0
row,4194304,64,444875291,3,168,176,9,0
row,4194304,64,444975291,2,156,196,7,0
row,4194304,64,445075291,2,162,188,7,0
row,4194304,64,445175291,3,162,185,7,0
row,4194304,64,445375291,0,144,186,0,0
row,4194304,64,445475333,2,155,184,6,0
row,4194304,64,445575291,3,160,188,8,0
row,4194304,64,445675291,2,158,170,6,0
row,4194304,64,445775291,2,128,198,6,0
row,4194304,64,445875666,2,124,177,7,0
row,4194304,64,445978166,2,167,206,8,0
row,4194304,64,446075291,0,147,206,0,0
row,4194304,64,446175500,3,148,217,7,0
row,4194304,64,446278125,2,160,194,7,0
row,4194304,64,446375291,2,145,187,8,0
row,4194304,64,446475291,3,160,177,10,0
row,4194304,64,446575291,3,152,178,10,0
row,4194304,64,446675291,3,144,148,8,0
row,4194304,64,446775416,2,146,213,6,0
row,4194304,64,446875333,1,160,161,21,0
row,4194304,64,446975291,3,147,188,8,0
row,4194304,64,447075291,3,159,182,7,0
row,4194304,64,447175291,2,166,200,7,0
row,4194304,64,447275291,2,149,183,6,0
row,4194304,64,447375291,2,157,205,6,0
row,4194304,64,447475333,2,156,155,6,0
row,4194304,64,447575291,0,150,179,0,0
row,4194304,64,447675291,2,149,220,6,0
row,4194304,64,447775333,2,154,182,6,0
row,4194304,64,447875333,2,152,196,8,0
row,4194304,64,447975291,2,153,192,8,0
row,4194304,64,448075500,3,175,174,7,0
row,4194304,64,448178125,2,136,190,6,0
row,4194304,64,448275541,3,126,160,8,0
row,4194304,64,448375500,1,165,193,22,0
row,4194304,64,448478208,3,148,196,12,0
row,4194304,64,448575333,2,150,180,6,0
row,4194304,64,448675333,2,157,177,6,0
row,4194304,64,448775291,2,160,179,7,0
row,4194304,64,448875291,3,152,166,9,0
row,4194304,64,448975291,2,155,146,7,0
row,4194304,64,449075291,0,133,195,0,0
row,4194304,64,449175291,2,151,208,6,0
row,4194304,64,449275291,2,140,208,6,0
row,4194304,64,449375291,3,167,180,7,0
row,4194304,64,449475291,2,160,171,6,0
row,4194304,64,449575291,2,154,169,7,0
row,4194304,64,449675291,2,147,179,7,0
row,4194304,64,449775291,2,152,194,7,0
row,4194304,64,449875291,0,155,197,0,0
row,4194304,64,449975291,2,151,206,7,0
row,4194304,64,450075541,2,159,190,7,0
row,4194304,64,450178041,3,160,210,10,0
row,4194304,64,450275333,2,128,165,6,0
row,4194304,64,450375333,3,166,187,9,0
row,4194304,64,450475333,2,162,187,7,0
row,4194304,64,450575333,2,167,214,8,0
row,4194304,64,450675333,2,156,216,7,0
row,4194304,64,450775333,0,167,198,0,0
row,4194304,64,450875333,2,156,191,7,0
row,4194304,64,450975333,2,156,211,6,0
row,4194304,64,451075333,2,159,194,7,0
row,4194304,64,451175333,2,159,206,8,0
row,4194304,64,451275333,2,146,184,7,0
row,4194304,64,451375583,2,149,195,6,0
row,4194304,64,451478166,2,146,212,8,0
row,4194304,64,451575291,2,119,175,7,0
row,4194304,64,451675333,2,149,190,7,0
row,4194304,64,451775333,0,159,151,0,0
row,4194304,64,451875291,2,160,207,7,0
row,4194304,64,451975333,2,146,191,6,0
row,4194304,64,452078208,3,164,205,11,0
row,4194304,64,452175291,2,152,184,6,0
row,4194304,64,452275333,3,155,154,7,0
row,4194304,64,452375333,3,168,199,10,0
row,4194304,64,452475333,2,152,181,7,0
row,4194304,64,452575333,3,179,150,10,0
row,4194304,64,452675333,3,161,200,8,0
row,4194304,64,452775333,0,156,178,0,0
row,4194304,64,452875333,3,162,206,11,0
row,4194304,64,452975291,2,160,197,6,0
row,4194304,64,453075333,3,174,215,9,0
row,4194304,64,453175541,2,165,188,7,0
row,4194304,64,453275500,3,159,206,12,0
row,4194304,64,453378125,2,136,200,6,0
row,4194304,64,453475291,3,159,208,10,0
row,4194304,64,453575333,2,117,185,6,0
row,4194304,64,453675375,3,152,175,11,0
row,4194304,64,453775333,0,153,174,0,0
row,4194304,64,453875333,3,157,200,8,0
row,4194304,64,453975333,2,150,193,7,0
row,4194304,64,454078041,2,140,188,6,0
row,4194304,64,454175291,2,155,199,8,0
row,4194304,64,454275666,2,144,132,8,0
row,4194304,64,454375500,2,161,183,6,0
row,4194304,64,454478166,2,158,201,8,0
row,4194304,64,454575333,0,153,200,0,0
row,4194304,64,454675291,2,162,197,6,0
row,4194304,64,454775333,2,155,201,6,0
row,4194304,64,454875333,2,156,199,6,0
row,4194304,64,454975333,2,138,220,7,0
row,4194304,64,455075333,2,166,201,8,0
row,4194304,64,455175333,2,157,197,6,0
row,4194304,64,455275333,2,148,199,7,0
row,4194304,64,455375333,3,167,162,10,0
row,4194304,64,455475291,3,162,207,9,0
row,4194304,64,455575333,2,162,153,6,0
row,4194304,64,455675333,0,176,164,0,0
row,4194304,64,455775333,2,158,200,6,0
row,4194304,64,455875333,3,168,210,8,0
row,4194304,64,455975583,3,160,202,6,0
row,4194304,64,456078125,2,158,184,6,0
row,4194304,64,456175458,2,123,186,7,0
row,4194304,64,456278208,2,162,183,7,0
row,4194304,64,456375291,2,153,204,6,0
row,4194304,64,456478166,0,163,151,0,0
row,4194304,64,456575291,2,160,205,6,0
row,4194304,64,456675291,2,150,185,6,0
row,4194304,64,456775333,2,170,205,6,0
row,4194304,64,456875333,2,154,214,8,0
row,4194304,64,456975333,2,149,199,6,0
row,4194304,64,457075458,2,155,165,6,0
row,4194304,64,457178166,3,175,167,8,0
row,4194304,64,457275291,0,154,197,0,0
row,4194304,64,457375333,2,146,223,7,0
row,4194304,64,457475333,3,173,192,10,0
row,4194304,64,457575333,3,164,188,7,0
row,4194304,64,457675333,2,161,197,8,0
row,4194304,64,457775333,3,178,174,8,0
row,4194304,64,457875333,3,164,169,7,0
row,4194304,64,457975500,3,158,170,8,0
row,4194304,64,458078166,2,161,186,6,0
row,4194304,64,458175291,3,167,171,8,0
row,4194304,64,458275333,2,161,188,7,0
row,4194304,64,458375333,0,164,206,0,0
row,4194304,64,458475333,2,159,221,6,0
row,4194304,64,458575333,3,152,193,7,0
row,4194304,64,458675333,2,174,201,6,0
row,4194304,64,458775375,3,169,187,9,0
row,4194304,64,458875333,2,157,202,6,0
