category|count|columns|cmd|pid|time|counter|event
row|16777216|32|simulation|6989|11691734.689176404:|2992|branch-misses:
row|16777216|32|simulation|6989|11691734.692979910:|18843|cache-misses:
row|16777216|32|simulation|6989|11691734.693209984:|2995|branch-misses:
row|16777216|32|simulation|6989|11691734.696942695:|18939|cache-misses:
row|16777216|32|simulation|6989|11691734.697288156:|2960|branch-misses:
row|16777216|32|simulation|6989|11691734.701139803:|18558|cache-misses:
row|16777216|32|simulation|6989|11691734.701514683:|2896|branch-misses:
row|16777216|32|simulation|6989|11691734.705192628:|18534|cache-misses:
row|16777216|32|simulation|6989|11691734.705740446:|2829|branch-misses:
row|16777216|32|simulation|6989|11691734.709095867:|18625|cache-misses:
row|16777216|32|simulation|6989|11691734.709687967:|2848|branch-misses:
row|16777216|32|simulation|6989|11691734.713112557:|18543|cache-misses:
row|16777216|32|simulation|6989|11691734.713575939:|2890|branch-misses:
row|16777216|32|simulation|6989|11691734.717049689:|18785|cache-misses:
row|16777216|32|simulation|6989|11691734.717561855:|2898|branch-misses:
row|16777216|32|simulation|6989|11691734.720962090:|18882|cache-misses:
row|16777216|32|simulation|6989|11691734.721626174:|2877|branch-misses:
row|16777216|32|simulation|6989|11691734.724846334:|19174|cache-misses:
row|16777216|32|simulation|6989|11691734.725119336:|3017|branch-misses:
row|16777216|32|simulation|6989|11691734.729001073:|18815|cache-misses:
row|16777216|32|simulation|6989|11691734.729178727:|3012|branch-misses:
row|16777216|32|simulation|6989|11691734.733142639:|18717|cache-misses:
row|16777216|32|simulation|6989|11691734.733152658:|3030|branch-misses:
row|16777216|32|simulation|6989|11691734.736957861:|18921|cache-misses:
row|16777216|32|simulation|6989|11691734.737141138:|3012|branch-misses:
row|16777216|32|simulation|6989|11691734.740841798:|19159|cache-misses:
row|16777216|32|simulation|6989|11691734.741280511:|3002|branch-misses:
row|16777216|32|simulation|6989|11691734.745043425:|18924|cache-misses:
row|16777216|32|simulation|6989|11691734.745460559:|2952|branch-misses:
row|16777216|32|simulation|6989|11691734.749015395:|18976|cache-misses:
row|16777216|32|simulation|6989|11691734.749469546:|2932|branch-misses:
row|16777216|32|simulation|6989|11691734.752987769:|18997|cache-misses:
row|16777216|32|simulation|6989|11691734.753429370:|2967|branch-misses:
row|16777216|32|simulation|6989|11691734.757046766:|18961|cache-misses:
row|16777216|32|simulation|6989|11691734.757494390:|2939|branch-misses:
row|16777216|32|simulation|6989|11691734.761005453:|19045|cache-misses:
row|16777216|32|simulation|6989|11691734.761607030:|2908|branch-misses:
row|16777216|32|simulation|6989|11691734.765169951:|18649|cache-misses:
row|16777216|32|simulation|6989|11691734.765576257:|2932|branch-misses:
row|16777216|32|simulation|6989|11691734.769133447:|18837|cache-misses:
row|16777216|32|simulation|6989|11691734.769142140:|3045|branch-misses:
row|16777216|32|simulation|6989|11691734.773041823:|18936|cache-misses:
row|16777216|32|simulation|6989|11691734.773107481:|3091|branch-misses:
row|16777216|32|simulation|6989|11691734.776679538:|3194|branch-misses:
row|16777216|32|simulation|6989|11691734.777096013:|18848|cache-misses:
row|16777216|32|simulation|6989|11691734.780720877:|3213|branch-misses:
row|16777216|32|simulation|6989|11691734.781159616:|18785|cache-misses:
row|16777216|32|simulation|6989|11691734.784857274:|3142|branch-misses:
row|16777216|32|simulation|6989|11691734.785195553:|18780|cache-misses:
row|16777216|32|simulation|6989|11691734.788762362:|3198|branch-misses:
row|16777216|32|simulation|6989|11691734.789165212:|18765|cache-misses:
row|16777216|32|simulation|6989|11691734.792662200:|3223|branch-misses:
row|16777216|32|simulation|6989|11691734.793070515:|18892|cache-misses:
row|16777216|32|simulation|6989|11691734.796697676:|3219|branch-misses:
row|16777216|32|simulation|6989|11691734.797214704:|18786|cache-misses:
row|16777216|32|simulation|6989|11691734.800710094:|3193|branch-misses:
row|16777216|32|simulation|6989|11691734.801114643:|18969|cache-misses:
row|16777216|32|simulation|6989|11691734.804585654:|3262|branch-misses:
row|16777216|32|simulation|6989|11691734.805023252:|19069|cache-misses:
row|16777216|32|simulation|6989|11691734.808720916:|3226|branch-misses:
row|16777216|32|simulation|6989|11691734.809228713:|18884|cache-misses:
row|16777216|32|simulation|6989|11691734.812640658:|3229|branch-misses:
row|16777216|32|simulation|6989|11691734.813141893:|18981|cache-misses:
row|16777216|32|simulation|6989|11691734.816780997:|3192|branch-misses:
row|16777216|32|simulation|6989|11691734.817132276:|18972|cache-misses:
row|16777216|32|simulation|6989|11691734.821019012:|3119|branch-misses:
row|16777216|32|simulation|6989|11691734.821259621:|18682|cache-misses:
row|16777216|32|simulation|6989|11691734.825246245:|18727|cache-misses:
row|16777216|32|simulation|6989|11691734.825249318:|3062|branch-misses:
row|16777216|32|simulation|6989|11691734.829270875:|18745|cache-misses:
row|16777216|32|simulation|6989|11691734.829400693:|3007|branch-misses:
row|16777216|32|simulation|6989|11691734.833199302:|18771|cache-misses:
row|16777216|32|simulation|6989|11691734.833437548:|2997|branch-misses:
row|16777216|32|simulation|6989|11691734.837164327:|18948|cache-misses:
row|16777216|32|simulation|6989|11691734.837430810:|3005|branch-misses:
row|16777216|32|simulation|6989|11691734.841211879:|18938|cache-misses:
row|16777216|32|simulation|6989|11691734.841410677:|2984|branch-misses:
row|16777216|32|simulation|6989|11691734.845185321:|18895|cache-misses:
row|16777216|32|simulation|6989|11691734.845429138:|3013|branch-misses:
row|16777216|32|simulation|6989|11691734.849181062:|18845|cache-misses:
row|16777216|32|simulation|6989|11691734.849408480:|3022|branch-misses:
row|16777216|32|simulation|6989|11691734.853148015:|18844|cache-misses:
row|16777216|32|simulation|6989|11691734.853310518:|3007|branch-misses:
row|16777216|32|simulation|6989|11691734.857194408:|18894|cache-misses:
row|16777216|32|simulation|6989|11691734.857278630:|3056|branch-misses:
row|16777216|32|simulation|6989|11691734.861256213:|18816|cache-misses:
row|16777216|32|simulation|6989|11691734.861526338:|2974|branch-misses:
row|16777216|32|simulation|6989|11691734.865325627:|18638|cache-misses:
