category,count,columns,cmd,pid,time,counter,event,ptr,fun,lib
row_all,16777216,3,simulation,6104,11651527.890992:,8292,cache-misses:,ffffffff8d236177,bad_range+0x77,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.897715:,63145,branch-misses:,7f0b17a589e9,random+0x69,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.901262:,8170,cache-misses:,ffffffff8d23bd74,__alloc_pages_nodemask+0x244,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.907786:,62898,branch-misses:,7f0b17a58ea1,rand+0x11,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.911371:,8048,cache-misses:,ffffffff8d239afe,get_page_from_freelist+0x81e,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.917778:,62931,branch-misses:,7f0b17a58e90,rand+0x0,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.921305:,8145,cache-misses:,ffffffff8d97bbf7,clear_page_erms+0x7,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.927767:,62983,branch-misses:,408463,FillColumns<unsigned,int>+0x273,(/experiments/sorting_simulation/simulation)
row_all,16777216,3,simulation,6104,11651527.931139:,8218,cache-misses:,ffffffff8d239cab,get_page_from_freelist+0x9cb,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.937769:,62994,branch-misses:,7f0b17a589d4,random+0x54,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.941289:,8064,cache-misses:,ffffffff8d2ce471,mem_cgroup_try_charge+0x11,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.945620:,8198,cache-misses:,7f0b17a589c9,random+0x49,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.946227:,17760,cache-misses:,7f0b17a58e68,random_r+0x78,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.947549:,62446,cache-misses:,7f0b17a589a0,random+0x20,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.947557:,64127,branch-misses:,7f0b17a589e9,random+0x69,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.952254:,122970,cache-misses:,7f0b17a58e90,rand+0x0,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.956940:,67312,branch-misses:,7f0b17a589d4,random+0x54,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.961432:,130539,cache-misses:,7f0b17a58980,random+0x0,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.966701:,68467,branch-misses:,7f0b17a589d9,random+0x59,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.971190:,132930,cache-misses:,7f0b17a589c9,random+0x49,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.976629:,68849,branch-misses:,408463,FillColumns<unsigned,int>+0x273,(/experiments/sorting_simulation/simulation)
row_all,16777216,3,simulation,6104,11651527.981124:,133608,cache-misses:,7f0b17a58e4c,random_r+0x5c,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.986611:,68948,branch-misses:,7f0b17a589e9,random+0x69,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.991101:,133831,cache-misses:,402070,rand@plt+0x0,(/experiments/sorting_simulation/simulation)
